City,City Latitude,City Longitude,Venue,Venue Id,Ratings,Venue Latitude,Venue Longitude,Venue Category
"New York, United States",40.7127281,-74.0060152,The Roxy Hotel,3fd66200f964a520bbe61ee3,8.7,40.71934055853672,-74.00504389888542,Hotel
"New York, United States",40.7127281,-74.0060152,Crosby Street Hotel,4ac7e4a7f964a52065ba20e3,9.1,40.72301050973039,-73.99745413751765,Hotel
"New York, United States",40.7127281,-74.0060152,Conrad New York Downtown,4f22ca77e4b0ed3396a83a05,8.7,40.7150355,-74.0158397,Hotel
"New York, United States",40.7127281,-74.0060152,SoHo Grand Hotel,3fd66200f964a52053eb1ee3,8.7,40.721973687369186,-74.0044641494751,Hotel
"New York, United States",40.7127281,-74.0060152,The Bowery Hotel,4ab04eb9f964a520fe6620e3,9.3,40.72614466252136,-73.99162708611642,Hotel
"New York, United States",40.7127281,-74.0060152,Andaz Wall Street - a concept by Hyatt,4b1b13ddf964a520bbf723e3,8.1,40.70509963058996,-74.00786819507917,Hotel
"New York, United States",40.7127281,-74.0060152,"The Standard, High Line",49d3d4a7f964a5201a5c1fe3,9.1,40.740854,-74.0079523,Hotel
"New York, United States",40.7127281,-74.0060152,Ace Hotel New York,4a0e0f85f964a520bf751fe3,8.8,40.74585807964396,-73.98812139191362,Hotel
"New York, United States",40.7127281,-74.0060152,Kimpton Hotel Eventi,4bec60a5f909ef3b2808a9c6,8.9,40.747223999999996,-73.98996,Hotel
"New York, United States",40.7127281,-74.0060152,Four Seasons Hotel New York Downtown,57c640ad498e74977f98372f,9.3,40.712612465019824,-74.00938032087629,Hotel
"New York, United States",40.7127281,-74.0060152,"The Beekman, A Thompson Hotel",56d8c0f8498edb854f926e6a,9.1,40.711172499999996,-74.0067017,Hotel
"New York, United States",40.7127281,-74.0060152,Dream Downtown,4d9c92f4baae54815f2cde64,8.2,40.742087700000006,-74.0036235,Hotel
"New York, United States",40.7127281,-74.0060152,Gansevoort Meatpacking NYC,412e7980f964a520f80c1fe3,8.2,40.7398532,-74.00573349999998,Hotel
"New York, United States",40.7127281,-74.0060152,W New York - Union Square,44d7b1f3f964a52070361fe3,8.1,40.73657574787062,-73.9885814487934,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel 50 Bowery,578692f4498e1054905dbde7,9.0,40.7159364,-73.99678940000001,Hotel
"New York, United States",40.7127281,-74.0060152,Greenwich Hotel,4ab6c985f964a5200a7920e3,9.0,40.71987580077512,-74.00994926691054,Hotel
"New York, United States",40.7127281,-74.0060152,citizenM Bowery,51050d4e5262d6654ddc83e1,9.3,40.720599497806894,-73.99357438087462,Hotel
"New York, United States",40.7127281,-74.0060152,W New York - Times Square,438d6b12f964a520322b1fe3,8.8,40.75929565924598,-73.98557268083096,Hotel
"New York, United States",40.7127281,-74.0060152,citizenM Hotel New York Times Square,5093c236830214706abb75db,9.1,40.761691026346256,-73.98495316332877,Hotel
"New York, United States",40.7127281,-74.0060152,Andaz 5th Avenue - a concept by Hyatt,4bcdc6bd937ca593fa40ad92,8.6,40.75282904501203,-73.98094169367391,Hotel
"New York, United States",40.7127281,-74.0060152,Arlo SoHo,57c98c00498ede2ae6ad9755,9.0,40.7244913,-74.00796509999999,Hotel
"New York, United States",40.7127281,-74.0060152,1 Hotel Brooklyn Bridge,57ed4330498e34539123c310,9.1,40.7022281537535,-73.99538028700046,Hotel
"New York, United States",40.7127281,-74.0060152,Distrikt Hotel,4b58b0a5f964a520d66528e3,8.5,40.75670714599083,-73.99287335653906,Hotel
"New York, United States",40.7127281,-74.0060152,PUBLIC,587f8878c45ee34e4c6c2f8a,9.0,40.72302,-73.99198,Hotel
"New York, United States",40.7127281,-74.0060152,11 Howard,56f1dac5498ee078791a2051,8.5,40.71915349219647,-74.00022138173979,Hotel
"New York, United States",40.7127281,-74.0060152,The Dominick,5a71f5dafdb9a7499731c928,8.8,40.725468,-74.00533,Hotel
"New York, United States",40.7127281,-74.0060152,The Plaza Hotel,49d18dfdf964a5208f5b1fe3,9.2,40.76444602333997,-73.97414488954924,Hotel
"New York, United States",40.7127281,-74.0060152,InterContinental New York Times Square,4c2cdf2d8ef52d7fed9933ba,8.5,40.758660299999995,-73.98954429999999,Hotel
"New York, United States",40.7127281,-74.0060152,The Ludlow Hotel,536020eb11d2ce653fb711d0,9.1,40.721856700000004,-73.98720390000001,Hotel
"New York, United States",40.7127281,-74.0060152,The Peninsula New York,4a67bbd8f964a520f9c91fe3,9.2,40.761658441958225,-73.97538363933562,Hotel
"New York, United States",40.7127281,-74.0060152,Artezen Hotel,5a91fa58e679bc57ca94db72,8.2,40.709585,-74.00878,Hotel
"New York, United States",40.7127281,-74.0060152,Lotte New York Palace,49c99502f964a52083581fe3,8.7,40.75818520000001,-73.97499049999998,Hotel
"New York, United States",40.7127281,-74.0060152,Ink 48 Hotel,4a9f2ec3f964a520d73c20e3,8.8,40.764505,-73.995987,Hotel
"New York, United States",40.7127281,-74.0060152,NOMO SOHO,5547ffe8498ec8a2c668a412,8.4,40.719892092196176,-74.00008301777052,Hotel
"New York, United States",40.7127281,-74.0060152,Mercer Hotel,4a32f2a7f964a520cf9a1fe3,8.6,40.72482768273196,-73.99855256080626,Hotel
"New York, United States",40.7127281,-74.0060152,Pod 39 Hotel,4fe0634b7beb303528d17f94,8.2,40.74933415345284,-73.97660833694302,Hotel
"New York, United States",40.7127281,-74.0060152,Sofitel New York,4b4e71caf964a520f8ed26e3,8.4,40.75578722233005,-73.98176215591775,Hotel
"New York, United States",40.7127281,-74.0060152,"Gild Hall, A Thompson Hotel",4a6e3e75f964a5204ed41fe3,8.2,40.70788710000001,-74.0071031,Hotel
"New York, United States",40.7127281,-74.0060152,The Nolitan Hotel,4cd54de87da9a35dc8a3e8b9,8.4,40.72057720000001,-73.9953391,Hotel
"New York, United States",40.7127281,-74.0060152,Four Seasons Hotel,4a8eb444f964a5207e1220e3,8.8,40.76194512106052,-73.97174099158845,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel Hugo,5327321d498e3b494482e5f5,8.4,40.7264,-74.00889000000001,Hotel
"New York, United States",40.7127281,-74.0060152,"The Standard, East Village",4ec6d0b4be7ba4fc6da4febd,8.8,40.7279316,-73.9907857,Hotel
"New York, United States",40.7127281,-74.0060152,Warwick New York Hotel,4afc5938f964a520cc2122e3,8.6,40.762402200000004,-73.9782725,Hotel
"New York, United States",40.7127281,-74.0060152,Mandarin Oriental,4ae0fa2ff964a5203d8421e3,9.1,40.7689873,-73.9830172,Hotel
"New York, United States",40.7127281,-74.0060152,SIXTY SoHo Hotel,4a24510af964a520107e1fe3,8.3,40.72395,-74.003124,Hotel
"New York, United States",40.7127281,-74.0060152,The Marlton Hotel,5139440ee4b0b10ea1c7b7c0,8.8,40.73256399315785,-73.99687995772287,Hotel
"New York, United States",40.7127281,-74.0060152,YOTEL New York,4da5dd2fcda1c55f755f88c5,8.1,40.759171152139054,-73.99526845262133,Hotel
"New York, United States",40.7127281,-74.0060152,New York Marriott Marquis,439c437bf964a520f02b1fe3,8.1,40.75872523464953,-73.98624265505508,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel Indigo,54c0151d498e4c827296cd41,8.4,40.72176221543275,-73.9880921645,Hotel
"New York, United States",40.7127281,-74.0060152,InterContinental New York Barclay,4a7b8beaf964a52058eb1fe3,8.3,40.755662945565575,-73.97352755069733,Hotel
"New York, United States",40.7127281,-74.0060152,InterContinental New York Barclay,4a7b8beaf964a52058eb1fe3,8.3,40.755662945565575,-73.97352755069733,Hotel
"New York, United States",40.7127281,-74.0060152,The Roger New York,4a7c0c8ff964a520dceb1fe3,7.8,40.74579736995579,-73.98427740094161,Hotel
"New York, United States",40.7127281,-74.0060152,Walker Hotel Greenwich Village,571558a2498e2f199298d02b,8.9,40.73618,-73.9966,Hotel
"New York, United States",40.7127281,-74.0060152,SIXTY LES Hotel,4b5668d6f964a520370f28e3,8.3,40.72214080000001,-73.98857149999998,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt Regency Jersey City On The Hudson,4a86e69ff964a5208a0120e3,8.5,40.7170826,-74.03267890000001,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt House Jersey City,57e086e5498e63392523069f,8.5,40.71590653092519,-74.03391335889552,Hotel
"New York, United States",40.7127281,-74.0060152,Sanctuary Hotel New York,4d7ad1263fbf6dcbb60b6423,8.1,40.75837,-73.9832957,Hotel
"New York, United States",40.7127281,-74.0060152,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,54aed577498ee5fc196739f7,7.9,40.70956279999999,-74.0097181,Hotel
"New York, United States",40.7127281,-74.0060152,JW Marriott Essex House New York,4b18552ef964a52009d123e3,8.3,40.76627698107096,-73.97857233995056,Hotel
"New York, United States",40.7127281,-74.0060152,The New York EDITION,554c1b85498efa107620d07e,9.0,40.741285999999995,-73.9873577,Hotel
"New York, United States",40.7127281,-74.0060152,TRYP By Wyndham Times Square South,4ee2659f61aff90fe487904f,7.8,40.7536447919699,-73.99466008737355,Hotel
"New York, United States",40.7127281,-74.0060152,Freehand New York,59d4126b8194fc768a2cfcde,9.0,40.73974003939308,-73.9846218065663,Hotel
"New York, United States",40.7127281,-74.0060152,Hilton Garden Inn,59b8c291a795bd49fe94b6b3,8.0,40.70296083158532,-74.01228090674594,Hotel
"New York, United States",40.7127281,-74.0060152,Park Central Hotel New York,4690ac4cf964a520a0481fe3,8.1,40.76481,-73.9814,Hotel
"New York, United States",40.7127281,-74.0060152,The High Line Hotel,515a1b3ee4b0f84f522c4b7f,9.0,40.74590361608837,-74.00505423545837,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel on Rivington,43616a00f964a52030291fe3,7.3,40.71995259064954,-73.98810698429789,Hotel
"New York, United States",40.7127281,-74.0060152,Wyndham New Yorker,481dfa3af964a5207f4f1fe3,7.7,40.75259643598074,-73.99364588566935,Hotel
"New York, United States",40.7127281,-74.0060152,The Westin New York at Times Square,4a2458a3f964a520127e1fe3,7.8,40.757713700000004,-73.9891186,Hotel
"New York, United States",40.7127281,-74.0060152,The Carlyle,4ac8d0d3f964a520b3bc20e3,8.8,40.77441309190471,-73.96330126859895,Hotel
"New York, United States",40.7127281,-74.0060152,New York Marriott Downtown,4a82eea3f964a52090f91fe3,7.8,40.7095039,-74.01467149999999,Hotel
"New York, United States",40.7127281,-74.0060152,Soho House,40a16900f964a520f9f21ee3,9.1,40.740537106098564,-74.00568490067722,Hotel
"New York, United States",40.7127281,-74.0060152,MADE Hotel,59aaa4888a6f173536519ecb,8.9,40.746185,-73.98952299999999,Hotel
"New York, United States",40.7127281,-74.0060152,The William Vale Hotel,56f32b83cd1058e40988b7e4,9.2,40.72230048796017,-73.9567221147578,Hotel
"New York, United States",40.7127281,-74.0060152,Wythe Hotel,4e760aa5b61c22c638709910,9.0,40.7218872714497,-73.95799353364396,Hotel
"New York, United States",40.7127281,-74.0060152,The Hoxton,58dd3f6814f8f401b39e68c5,8.9,40.7208310297892,-73.95876025033186,Hotel
"New York, United States",40.7127281,-74.0060152,W Hoboken,49eb53f5f964a520c2661fe3,8.5,40.7393875,-74.02801720000001,Hotel
"New York, United States",40.7127281,-74.0060152,The Jane Hotel,49f9ea10f964a520936d1fe3,8.2,40.738158218794645,-74.00951197805692,Hotel
"New York, United States",40.7127281,-74.0060152,The Williamsburg Hotel,586690d7b6e67d6eddcce163,8.8,40.721482,-73.958715,Hotel
"New York, United States",40.7127281,-74.0060152,"The Langham, New York, Fifth Avenue",518907b0498e1bdcf2664496,9.0,40.7501438,-73.9835325,Hotel
"New York, United States",40.7127281,-74.0060152,Hilton Garden Inn,4ab7e364f964a520587b20e3,7.5,40.75036793018353,-73.98650541901587,Hotel
"New York, United States",40.7127281,-74.0060152,Maritime Hotel,44ac05cef964a5200c351fe3,8.2,40.742470623299496,-74.00407936429643,Hotel
"New York, United States",40.7127281,-74.0060152,Millennium Broadway Hotel,4a0215c6f964a5202a711fe3,7.6,40.757073,-73.9848,Hotel
"New York, United States",40.7127281,-74.0060152,Hotel Giraffe,42893400f964a52065231fe3,8.4,40.742054987828666,-73.98494944514042,Hotel
"New York, United States",40.7127281,-74.0060152,Millennium Hilton,510ad6e2e4b0a2ecec03b322,7.5,40.711114,-74.010333,Hotel
"New York, United States",40.7127281,-74.0060152,Arlo NoMad,57c98ec0498eb5f6df86026b,8.5,40.746269299999994,-73.9849425,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt Union Square New York,4f6e4bcee4b0dca2e13ba7d1,8.0,40.733518341923144,-73.99000308255485,Hotel
"New York, United States",40.7127281,-74.0060152,Ace Hotel Brooklyn,5ffdc960d85c9a288b3b391f,8.1,40.68798059792674,-73.98378565907478,Hotel
"New York, United States",40.7127281,-74.0060152,Mondrian Park Avenue,59d793890a464d2a7845df62,8.4,40.74485689895831,-73.98335801719668,Hotel
"New York, United States",40.7127281,-74.0060152,The Westin,4b5b0aa8f964a52063e028e3,8.0,40.7249354,-74.036252,Hotel
"New York, United States",40.7127281,-74.0060152,Homewood Suites by Hilton,53c5b774498e3c9a5c9219b8,8.7,40.7543983,-73.99305720000001,Hotel
"New York, United States",40.7127281,-74.0060152,Holiday Inn Manhattan-Financial District,544c4131498e767f7769b3e0,7.5,40.708268,-74.01408359999999,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt Centric Times Square New York,50eab63be4b09d1aedfe4e75,9.0,40.75739571461923,-73.98422209549119,Hotel
"New York, United States",40.7127281,-74.0060152,Hyatt House New York/Chelsea,57e2ec53498e5e2b40e53abb,8.3,40.746293,-73.990695,Hotel
"New York, United States",40.7127281,-74.0060152,New York Marriott at the Brooklyn Bridge,4a4d7a55f964a520f3ad1fe3,7.9,40.693705,-73.9885647,Hotel
"New York, United States",40.7127281,-74.0060152,Fairfield Inn by Marriott New York Manhattan/Financial District,54e21d97498e7cf9d3f29b3c,7.5,40.705911,-74.004993,Hotel
"New York, United States",40.7127281,-74.0060152,Refinery Hotel,4ffae44ae4b08a4c74218aa0,8.5,40.752206799999996,-73.9853708,Hotel
"New York, United States",40.7127281,-74.0060152,Innside New York Nomad,56672498498e8aba895b35cf,8.2,40.74592339509913,-73.99270932140246,Hotel
"New York, United States",40.7127281,-74.0060152,Hampton Inn by Hilton,53c5b244498e0ffbbdc92ef4,7.8,40.6957059,-73.9840201,Hotel
"New York, United States",40.7127281,-74.0060152,The Leon Hotel,5282c37711d218b68cd519ab,7.5,40.71599369920858,-73.99517068751025,Hotel
"New York, United States",40.7127281,-74.0060152,Pod Hotel Brooklyn,59f61926c365883f8b4637f0,8.2,40.71513381090374,-73.95908484236922,Hotel
